# 238 stitchable .gigapan files matched to gigapan.com entries
# match types: paren_exact = filename in parens in name; word_match = stem found as word in name
# columns: match_type | gigapan_id | gigapan_name | images | local_path

paren_exact  |    5844 | Sebastopol Independent Charter School from driveway ent |  104 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/sics_03.gigapan
paren_exact  |    8579 | From the airport art tower (airport4)                   |  104 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/airport4.gigapan
paren_exact  |    5024 | IFTF Conference (iftf03)                                |  105 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/iftf03.gigapan
paren_exact  |    5024 | IFTF Conference (iftf03)                                |  105 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/iftf03.gigapan
paren_exact  |    8589 | Burning Man 2008 Temple (temple1)                       |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/temple1.gigapan
word_match   |    8577 | Burning Man 2008 Temple (temple6?)                      |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/temple6.gigapan
paren_exact  |    8589 | Burning Man 2008 Temple (temple1)                       |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/temple1.gigapan
word_match   |    8577 | Burning Man 2008 Temple (temple6?)                      |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/temple6.gigapan
word_match   |    5311 | (wherecamp_09                                           |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/wherecamp_09.gigapan
paren_exact  |    8589 | Burning Man 2008 Temple (temple1)                       |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/temple1.gigapan
word_match   |    8577 | Burning Man 2008 Temple (temple6?)                      |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/temple6.gigapan
word_match   |    5311 | (wherecamp_09                                           |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/wherecamp_09.gigapan
paren_exact  |    8589 | Burning Man 2008 Temple (temple1)                       |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/temple1.gigapan
word_match   |    8577 | Burning Man 2008 Temple (temple6?)                      |  108 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/temple6.gigapan
paren_exact  |    8589 | Burning Man 2008 Temple (temple1)                       |  108 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/temple1.gigapan
word_match   |    8577 | Burning Man 2008 Temple (temple6?)                      |  108 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/temple6.gigapan
paren_exact  |    5680 | Fail, but maybe an interesting fail - 14 rows x 1 col ( |   11 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/steamboat_ed_05.gigapan
paren_exact  |    2842 | Laguna de Santa Rosa (m12c)                             |  110 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/m12c.gigapan
paren_exact  |    5562 | Barrow Plant (barrow_02)                                |  112 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/barrow_02.gigapan
paren_exact  |    5973 | East entrance to Sebastopol on Hgwy 12.  NW Corner Seba |  112 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/20080611-01.gigapan
paren_exact  |    5562 | Barrow Plant (barrow_02)                                |  112 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/barrow_02.gigapan
paren_exact  |    8559 | Burning Man 208 - from the Technology Platform (bm2008_ |  115 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/bm2008_07.gigapan
paren_exact  |    8559 | Burning Man 208 - from the Technology Platform (bm2008_ |  115 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/bm2008_07.gigapan
paren_exact  |    8559 | Burning Man 208 - from the Technology Platform (bm2008_ |  115 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/bm2008_07.gigapan
paren_exact  |    8559 | Burning Man 208 - from the Technology Platform (bm2008_ |  115 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/bm2008_07.gigapan
paren_exact  |    8559 | Burning Man 208 - from the Technology Platform (bm2008_ |  115 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/bm2008_07.gigapan
paren_exact  |    5554 | Former Barrow plant, future NorthEast Plan area, Sebast |  116 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/barrow_01.gigapan
paren_exact  |    5554 | Former Barrow plant, future NorthEast Plan area, Sebast |  116 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/barrow_01.gigapan
paren_exact  |    8583 | Burning Man 2008 Temple (temple2)                       |  120 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/temple2.gigapan
paren_exact  |    8543 | Burning Man 2008 - looking up inside of the temple (tem |  120 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/temple4.gigapan
paren_exact  |    8583 | Burning Man 2008 Temple (temple2)                       |  120 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/temple2.gigapan
paren_exact  |    8543 | Burning Man 2008 - looking up inside of the temple (tem |  120 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/temple4.gigapan
paren_exact  |    8583 | Burning Man 2008 Temple (temple2)                       |  120 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/temple2.gigapan
paren_exact  |    8543 | Burning Man 2008 - looking up inside of the temple (tem |  120 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/temple4.gigapan
paren_exact  |    8583 | Burning Man 2008 Temple (temple2)                       |  120 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/temple2.gigapan
paren_exact  |    8543 | Burning Man 2008 - looking up inside of the temple (tem |  120 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/temple4.gigapan
paren_exact  |    8583 | Burning Man 2008 Temple (temple2)                       |  120 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/temple2.gigapan
paren_exact  |    8543 | Burning Man 2008 - looking up inside of the temple (tem |  120 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/temple4.gigapan
paren_exact  |    5677 | Detail of the (origami) Crane, at Steamboat Ed's (steam |  128 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/steamboat_ed_02.gigapan
paren_exact  |    6060 | Gassification power exchange workshop at the Shipyard ( |  130 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/20080614_01.gigapan
paren_exact  |    5655 | Maker Faire, Sunday afternoon during tear down (mf32)   |   14 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_external_250/mf32.gigapan
paren_exact  |    5655 | Maker Faire, Sunday afternoon during tear down (mf32)   |   14 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf32.gigapan
paren_exact  |    5655 | Maker Faire, Sunday afternoon during tear down (mf32)   |   14 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf32.gigapan
paren_exact  |    2844 | Laguna de Santa Rosa (m12a)                             |  147 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/m12a.gigapan
paren_exact  |    2858 | Laguna de Santa Rosa (m12b)                             |  147 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/m12b.gigapan
word_match   |    5351 | wherecamp_01                                            |  147 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/wherecamp_01.gigapan
word_match   |    5351 | wherecamp_01                                            |  147 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/wherecamp_01.gigapan
paren_exact  |    5767 | Sunflower Club - Planting sunflowers with Maddy and Spe |   15 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/june_2008_03.gigapan
paren_exact  |    5765 | Sunflower Club - Planting sunflowers with Maddy and Spe |   15 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/june_2008_04.gigapan
paren_exact  |    5270 | From Bernal Hill (bernal_01)                            |  161 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/bernal_01.gigapan
paren_exact  |    5270 | From Bernal Hill (bernal_01)                            |  161 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bernal_01.gigapan
paren_exact  |    5925 | Corner of Depot and Brown Streets, Sebastopol, Northeas |  162 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/20080608-01.gigapan
paren_exact  |    8566 | Burning Man 2008 - The People Speak project (bm2008_16) |   18 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/bm2008_16.gigapan
paren_exact  |    8566 | Burning Man 2008 - The People Speak project (bm2008_16) |   18 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/bm2008_16.gigapan
paren_exact  |    5188 | Where 2.0 (where_a_05)                                  |   18 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/where_a_05.gigapan
paren_exact  |    8566 | Burning Man 2008 - The People Speak project (bm2008_16) |   18 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/bm2008_16.gigapan
paren_exact  |    8566 | Burning Man 2008 - The People Speak project (bm2008_16) |   18 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/bm2008_16.gigapan
paren_exact  |    8566 | Burning Man 2008 - The People Speak project (bm2008_16) |   18 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/bm2008_16.gigapan
paren_exact  |    2783 | Long Now (ln2a)                                         |  180 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/ln2a.gigapan
paren_exact  |    5669 | Steamboat Ed's Shop - Bridgeport Mill and Lathe (steamb |  180 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/steamboat_ed_06.gigapan
paren_exact  |    8592 | Burning Man 2008 Temple (temple3)                       |  196 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/temple3.gigapan
paren_exact  |    8592 | Burning Man 2008 Temple (temple3)                       |  196 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/temple3.gigapan
paren_exact  |    8592 | Burning Man 2008 Temple (temple3)                       |  196 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/temple3.gigapan
paren_exact  |    8592 | Burning Man 2008 Temple (temple3)                       |  196 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/temple3.gigapan
paren_exact  |    8592 | Burning Man 2008 Temple (temple3)                       |  196 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/temple3.gigapan
paren_exact  |    4969 | TechShop Pavilion (mf24)                                |   20 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_external_250/mf24.gigapan
word_match   |    2613 | Alembic guitar                                          |   20 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/guitar.gigapan
paren_exact  |    4995 | Maker Faire my Gassifier fixation continues (mf03)      |   20 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf03.gigapan
paren_exact  |    4969 | TechShop Pavilion (mf24)                                |   20 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf24.gigapan
paren_exact  |    4995 | Maker Faire my Gassifier fixation continues (mf03)      |   20 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf03.gigapan
paren_exact  |    4969 | TechShop Pavilion (mf24)                                |   20 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf24.gigapan
paren_exact  |    5617 | Richmond San Rafael Bridge, and Bay, from near San Quin |  200 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/bay_day_01.gigapan
paren_exact  |    5617 | Richmond San Rafael Bridge, and Bay, from near San Quin |  200 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bay_day_01.gigapan
paren_exact  |    8582 | Burning Man 2008 - The Man (crane2)                     |  224 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/crane2.gigapan
paren_exact  |    8582 | Burning Man 2008 - The Man (crane2)                     |  224 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/crane2.gigapan
paren_exact  |    8582 | Burning Man 2008 - The Man (crane2)                     |  224 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/crane2.gigapan
paren_exact  |    8582 | Burning Man 2008 - The Man (crane2)                     |  224 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/crane2.gigapan
paren_exact  |    4992 | Maker Faire In front of Expo and Fiesta (mf02)          |  225 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf02.gigapan
paren_exact  |    4992 | Maker Faire In front of Expo and Fiesta (mf02)          |  225 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf02.gigapan
